Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,82819417,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/02/2025,07/11/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83550481,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"1,728",0,0,1262.0,0,0.00,0,0.000,0.000,05/12/2025,07/17/2025,
1-1719082-1,pin housing 12pos mqs,ZHLB,,AL2,Z200,88351177,,M289,PH10,,C,C,X,0943,,,43186,,AL2,101,DE,A,,,,,AUT SHIRWAL TESOG,,N03,,,,1-1719082-1,PC,"18,000",0,0,1689.55,0,0.00,0,0.000,0.000,08/15/2023,07/29/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82137550,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,400,0,0,149.2,0,0.00,0,0.000,0.000,04/23/2025,06/30/2025,
235468-5,"dia11 lockable squib ca,code c, l=1770mm",ZFRT,,AL2,Z200,2147738961,,L805,PH10,,C,C,X,0943,,,43187,,AL2,101,IN,B,,,,,AUT SHIRWAL TESOG,,G03,,6,,235468-5,PC,"2,000",0,0,1547.23,0,0.00,0,0.000,0.000,11/27/2021,12/22/2021,
1-1718638-1,amp mcp 2.8 retainer 4pos.,ZHLB,,AL2,Z200,49925847,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,,,1-1718638-1,PC,"10,500",0,0,332.61,0,0.00,0,0.000,0.000,02/02/2024,02/09/2024,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82831006,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"1,600",0,0,596.79,0,0.00,0,0.000,0.000,05/02/2025,07/11/2025,
1337352-1,e3 receptacle conn. assy.,ZFRT,,AEO,Z100,82168485,,J968,PH10,,A,C,X,0943,,,42054,,ADN,284,IN,E,,,,,AUT SHIRWAL TESOG,,H83,,,,1337352-1,PC,"9,600",0,0,3485.96,0,0.00,0,0.000,0.000,04/24/2025,07/03/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,84198252,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/19/2025,07/24/2025,
2236956-1,6pos mqs tab cod a,ZFRT,,AND,Z100,84480827,,M133,PH10,,A,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,1,,2236956-1,PC,"20,000",0,0,975.72,0,0.00,0,0.000,0.000,05/24/2025,07/23/2025,
2236956-1,6pos mqs tab cod a,ZFRT,,AND,Z100,86741099,,M133,PH10,,A,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,1,,2236956-1,PC,"41,000",0,0,2000.22,0,0.00,0,0.000,0.000,07/03/2025,07/08/2025,
2324309-2,"3-port matenet frame, utp, cod b",ZHLB,,AND,Z120,71893150,,EF21,PH10,,C,C,N,0943,,,41393,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,P06,,2,,2324309-2,PC,"3,500",0,0,221.14,0,0.00,0,0.000,0.000,12/05/2024,06/20/2025,
2141040-1,"fuse box assy,hard wired,type a",ZFRT,,ADO,Z130,87143539,,L931,PH10,,A,C,X,0943,,,43059,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,127,,3,,2141040-1,PC,210,0,0,1045.94,0,0.00,0,0.000,0.000,07/03/2025,07/31/2025,
2236956-2,6pos mqs tab cod b,ZFRT,,AND,Z100,87194600,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,2,,2236956-2,PC,"19,000",0,0,949.54,0,0.00,0,0.000,0.000,07/10/2025,07/11/2025,
2294223-2,"80pos,0.64 gener. y,rec hsg,assy,sld",ZFRT,,ADO,Z120,83926322,,M638,PH10,,A,C,N,0943,,,43069,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAC,,2,,2294223-2,PC,420,0,0,563.21,0,0.00,0,0.000,0.000,05/17/2025,07/24/2025,
2141466-1,"4pos,nanomqs,sock hsg,assy,sealed,coda",ZFRT,,ADO,Z100,80900980,,M120,PH10,,A,C,N,0943,,,43155,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-1,PC,"3,000",0,0,741.67,0,0.00,0,0.000,0.000,,06/20/2025,
1718633-1,cpa for amp mcp 2.8,ZHLB,,AL2,Z200,49622050,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,B,,,,,AUT SHIRWAL TESOG,,N10,,7,,1718633-1,PC,"100,000",0,0,944.13,0,0.00,0,0.000,0.000,01/23/2024,02/16/2024,
2-1452483-2,2way plug conn. 8mm pitch,ZFRT,,AEO,Z200,24193576,,W767,WT50,,C,C,X,0495,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452483-2,PC,"14,400",0,0,1153.56,0,0.00,0,0.000,0.000,12/24/2019,01/08/2020,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83361302,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"1,296",0,0,946.5,0,0.00,0,0.000,0.000,05/09/2025,07/11/2025,
2066108-1,power sub cable -  efc extn- hvac for ck,ZFRT,,AEO,Z200,15595583,,L727,PH10,,C,C,X,0943,,,43058,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,895,,8,,2066108-1,PC,"1,000",0,0,1995.83,0,0.00,0,0.000,0.000,02/12/2018,03/25/2021,09/30/2035
1-2236520-1,"lever, female housing, 80 way",ZHLB,,AL2,Z120,88119519,,M638,PH09,,A,C,N,0943,,,43069,,AL2,101,HU,C,,,,,AUT SHIRWAL TESOG,,NAC,,,,1-2236520-1,PC,900,0,0,201.61,0,0.00,0,0.000,0.000,07/27/2025,07/30/2025,
1-1452480-4,"2pos,fakra ii,jack hsg,8mm pitch,assy",ZFRT,,AEO,Z200,22465396,,W767,PH10,,C,C,N,0943,,,41396,,AEO,101,IN,A,,,,,AUT SHIRWAL TESOG,,P08,,,,1-1452480-4,PC,"2,500",0,0,205.99,0,0.00,0,0.000,0.000,08/30/2019,04/02/2024,
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,82822613,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,"1,215",0,0,1006.68,0,0.00,0,0.000,0.000,05/02/2025,06/11/2025,
2302451-1,"matenet, male insert modul",ZHLB,,AND,Z130,87194262,,EF21,PH10,,B,C,N,0943,,,41393,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,P06,,2,,2302451-1,PC,"40,000",0,0,2687.97,0,0.00,0,0.000,0.000,07/09/2025,07/13/2025,
1-2236715-2,"36pos,tab1.5x0.64,header assy,codb,90deg",ZFRT,,AEO,Z120,86386960,,J656,PH10,,C,C,N,0943,,,42021,,ADN,284,IN,C,,,,,AUT SHIRWAL TESOG,,J96,,,,1-2236715-2,PC,100,0,0,221.35,0,0.00,0,0.000,0.000,06/21/2025,07/03/2025,
1801773-1,fuses and relays holder 6 minifuses v2,ZFRT,,AND,Z130,87374392,,L102,PH10,,B,C,X,0943,,,43059,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,127,,3,,1801773-1,PC,"4,992",0,0,1794.58,0,0.00,0,0.000,0.000,07/11/2025,07/12/2025,
1703804-1,"slide,for tab housing, 15pos.",ZHLB,,AND,Z120,87120500,,J541,PH10,,C,C,X,0943,,,42020,,AND,284,CZ,A,,,,,AUT KURIM TESOG,,H94,,,,1703804-1,PC,600,0,0,63.13,0,0.00,0,0.000,0.000,07/04/2025,07/28/2025,
2-1452726-1,2way plug conn. 8mm pitch,ZFRT,,AEO,Z120,81064932,,W767,PH10,,B,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452726-1,PC,"4,800",0,0,385.25,"28,800",17.00,0,0.000,0.000,04/14/2025,06/20/2025,
1241796-1,"distanzstueck,rot",ZHLB,,AL2,Z200,44210241,,M270,PH10,,C,C,X,0943,,,43113,,AL2,101,CZ,B,,,,,AUT SHIRWAL TESOG,,P16,,,,1241796-1,PC,"25,000",0,0,310.13,0,0.00,0,0.000,0.000,04/18/2023,06/05/2023,
2066108-1,power sub cable -  efc extn- hvac for ck,ZFRT,,AEO,Z200,15794790,,L727,PH10,,C,C,X,0943,,,43058,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,895,,8,,2066108-1,PC,400,0,0,798.33,0,0.00,0,0.000,0.000,03/02/2018,03/25/2021,09/30/2035
235490-1,cable ass'y chassis switch (bmw),ZFRT,,AEO,Z200,1335488670,,Y370,WT50,,C,C,X,0495,,,42260,,ADN,305,,B,,,,,AUT SHIRWAL TESOG,,P72,,9,,235490-1,PC,200,0,0,397.26,0,0.00,0,0.000,0.000,,,09/30/2027
1801613-1,fuses and relays holder 36 minifuses,ZFRT,,AND,Z120,84796685,,L102,PH10,,C,C,N,0943,,,43059,,AND,101,CZ,D,,,,,AUT KURIM TESOG,,127,,3,,1801613-1,PC,480,0,0,388.42,0,0.00,0,0.000,0.000,06/10/2025,06/12/2025,
1452587-1,"2way plug conn. 12,7mm pitch",ZFRT,,AEO,Z120,82895639,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,D,,,,,AUT SHIRWAL TESOG,,P08,,,,1452587-1,PC,"7,200",0,0,955.88,0,0.00,0,0.000,0.000,05/03/2025,07/11/2025,
1-968699-1,2pos mqs tab cod a,ZFRT,,AND,Z100,88466303,,M133,PH10,,B,C,X,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,1,,1-968699-1,PC,"300,000",0,0,5026.2,0,0.00,0,0.000,0.000,07/24/2025,07/28/2025,
1-953723-1,4w mqs sk hsg blue,ZFRT,,AND,Z120,86233575,,M133,PH10,,C,C,N,0943,,,43169,,AND,101,CZ,D,,,,,AUT KURIM TESOG,,N02,,9,,1-953723-1,PC,"7,000",0,0,269.96,0,0.00,0,0.000,0.000,06/23/2025,06/24/2025,09/30/2027
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,82645500,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,864,0,0,631.0,0,0.00,0,0.000,0.000,04/29/2025,07/11/2025,
1952122-1,"assembly, delete cap, 4 position, mqs",ZFRT,,AEO,Z200,2110775617,,J758,PH10,,C,C,N,0943,,,43169,,CO4,101,IN,A,,,,,AUT SHIRWAL TESOG,,N02,,9,,1952122-1,PC,"1,200",0,0,5412.1,0,0.00,0,0.000,0.000,03/13/2021,09/06/2023,09/30/2035
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,84202034,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/19/2025,07/24/2025,
2236374-1,lever,ZFRT,,AND,Z100,88124152,,M237,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,1,,2236374-1,PC,"62,700",0,0,3241.12,0,0.00,0,0.000,0.000,07/22/2025,07/30/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,87203362,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,240,0,0,2191.21,"15,000",2.00,0,0.000,0.000,07/04/2025,07/17/2025,
1952015-1,chassis switch-e89 cable assembly(bmw),ZFRT,,AEO,Z200,24928926,,YC43,WT50,,C,C,X,0495,,,42262,,ADN,305,IN,A,,,,,AUT SHIRWAL TESOG,,P74,,6,,1952015-1,PC,800,0,0,1092.11,0,0.00,0,0.000,0.000,02/28/2020,03/26/2020,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,83885982,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,80,0,0,730.4,"15,000",1.00,0,0.000,0.000,05/16/2025,05/21/2025,
1802684-1,"cable guide,grid signal",ZHLB,,AND,Z130,86162709,,J880,PH10,,B,C,N,0943,,,14003,,AND,278,CZ,B,,,,,AUT KURIM TESOG,,P27,,7,,1802684-1,PC,"16,000",0,0,2022.57,0,0.00,0,0.000,0.000,07/17/2025,07/21/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,84926270,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,40,0,0,365.2,"15,000",0.00,0,0.000,0.000,05/29/2025,08/01/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83650359,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,400,0,0,149.2,0,0.00,0,0.000,0.000,05/13/2025,07/16/2025,
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,82686043,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,"2,430",0,0,2013.37,0,0.00,0,0.000,0.000,04/30/2025,06/11/2025,
2141359-6,"cover,codings cover,code",ZFRT,,AND,Z200,41243488,,M269,PH10,,C,C,N,0943,,,41393,,AND,101,CZ,E,,,,,AUT KURIM TESOG,,P07,,,,2141359-6,PC,"3,925",0,0,251.14,0,0.00,0,0.000,0.000,11/01/2022,07/02/2025,
1-2315562-1,"10pos,tab0.64x0.64,hdr assy,180deg,sldr",ZFRT,,ADO,Z200,32P0000006,,M171,PH10,,C,C,N,0943,,,43164,,ADO,101,US,A,,,,,AUT SHIRWAL TESOG,,N60,,1,,1-2315562-1,PC,"1,512",0,0,1229.54,"40,068",4.00,0,0.000,0.000,01/29/2025,01/30/2025,
1-2236519-1,"spacer, female housing, 80 way",ZHLB,,AL2,Z130,85090462,,M638,PH10,,A,C,N,0943,,,43069,,AL2,101,HU,E,,,,,AUT SHIRWAL TESOG,,NAC,,,,1-2236519-1,PC,"6,552",0,0,1052.44,0,0.00,0,0.000,0.000,06/01/2025,06/04/2025,
Material,material description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,,Safety Sto,SS %,Stock in t,Blocked St,Blocked St,Date of Ma,Last goods,End of lif
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83443061,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,400,0,0,149.2,0,0.00,0,0.000,0.000,05/10/2025,07/16/2025,
1-1718624-1,2 pos hsg amp mcp 2.8 assy,ZFRT,,AEO,Z120,82564658,,M105,PH10,,C,C,X,0943,,,43104,,ADN,101,IN,C,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718624-1,PC,"1,000",0,0,163.55,0,0.00,0,0.000,0.000,04/28/2025,07/16/2025,
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,82337313,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,810,0,0,671.12,0,0.00,0,0.000,0.000,04/25/2025,06/11/2025,
1452179-2,"door latch hdr,re10",ZFRT,,AEO,Z120,72908793,,M709,PH10,,C,C,X,0943,,,43091,,ADN,101,IN,F,,,,,AUT SHIRWAL TESOG,,NAU,,7,,1452179-2,PC,240,0,0,167.48,0,0.00,0,0.000,0.000,12/11/2024,01/03/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83797773,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"2,000",0,0,745.99,0,0.00,0,0.000,0.000,05/15/2025,07/28/2025,
1802677-1,"protection cap/cvr,dc,rhd",ZHLB,,AND,Z130,87140791,,J880,PH10,,B,C,N,0943,,,14003,,AND,278,CZ,B,,,,,AUT KURIM TESOG,,P27,,7,,1802677-1,PC,"3,380",0,0,2001.25,0,0.00,0,0.000,0.000,07/05/2025,07/07/2025,
1719012-1,socket hsg 20 pos mqs,ZHLB,,ADO,Z120,83907949,,M185,PH10,,B,C,X,0943,,,43170,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N04,,2,,1719012-1,PC,300,0,0,461.2,0,0.00,0,0.000,0.000,05/16/2025,07/16/2025,
1-959630-0,b-squib ca 360mm,ZFRT,,AEO,Z200,2204382411,,M249,PH10,,C,C,X,0943,,,43187,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,G03,,8,,1-959630-0,PC,400,0,0,1112.36,0,0.00,0,0.000,0.000,01/25/2022,02/04/2022,09/30/2025
2141043-1,"spacer,for fuse module type a",ZHLB,,AL2,Z120,50159600,,1598,PH10,,B,C,X,0943,,,43059,,AL2,101,HU,A,,,,,AUT SHIRWAL TESOG,,127,,,,2141043-1,PC,339,0,0,57.14,0,0.00,0,0.000,0.000,02/12/2024,04/02/2025,
2314183-1,"hall,sensor complete,p628",ZFRT,,AEO,Z200,82336940,,YC43,PH10,,B,X,N,0943,,,42262,,ADN,305,IN,A,,,,,AUT SHIRWAL TESOG,,P74,,,,2314183-1,PC,"2,400",0,0,4523.58,0,0.00,0,0.000,0.000,04/25/2025,07/03/2025,
1-1718624-2,2 pos hsg amp mcp 2.8 assy,ZFRT,,AEO,Z100,80684777,,M105,PH10,,B,C,N,0943,,,43104,,ADN,101,IN,C,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718624-2,PC,"1,000",0,0,163.55,0,0.00,0,0.000,0.000,04/08/2025,06/10/2025,
144909-1,sealing for 9w jpt conn,ZFRT,,AL2,Z200,47571403,,M289,PH10,,C,C,N,0943,,,43186,,AL2,101,FR,A,,,,,AUT SHIRWAL TESOG,,N03,,,,144909-1,PC,"4,230",0,0,229.12,0,0.00,0,0.000,0.000,10/22/2023,05/10/2024,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,82679880,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,04/30/2025,07/11/2025,
2-2141359-6,"cover,codings cover,code",ZFRT,,AND,Z200,74845614,,M269,PH10,,C,C,N,0943,,,41393,,AND,101,CZ,E,,,,,AUT KURIM TESOG,,P07,,,,2-2141359-6,PC,"47,952",0,0,2529.25,0,0.00,0,0.000,0.000,01/05/2025,07/02/2025,
144908-1,slide for 9p jpt hsg,ZHLB,,AL2,Z200,47621716,,M289,PH10,,C,C,N,0943,,,43186,,AL2,101,HU,C,,,,,AUT SHIRWAL TESOG,,N03,,,,144908-1,PC,"1,600",0,0,162.44,0,0.00,0,0.000,0.000,11/26/2023,08/06/2024,
1719261-7,1 pos fakra ii plug hsg codg free,ZFRT,,AEO,Z120,83769799,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,C,,,,,AUT SHIRWAL TESOG,,P08,,2,,1719261-7,PC,"9,600",0,0,521.18,0,0.00,0,0.000,0.000,05/17/2025,07/24/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82806586,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"2,400",0,0,895.18,0,0.00,0,0.000,0.000,05/02/2025,07/11/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,83762952,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,440,0,0,4017.21,"15,000",3.00,0,0.000,0.000,05/14/2025,05/21/2025,
1417688-2,immobilizer antenna mm iveco heavy truck,ZFRT,,AEO,Z200,83248625,,E951,PH10,,C,C,X,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,7,,1417688-2,PC,920,0,0,934.93,0,0.00,0,0.000,0.000,05/08/2025,06/05/2025,
1-2236519-1,"spacer, female housing, 80 way",ZHLB,,AL2,Z130,86977348,,M638,PH10,,A,C,N,0943,,,43069,,AL2,101,HU,E,,,,,AUT SHIRWAL TESOG,,NAC,,,,1-2236519-1,PC,"1,008",0,0,161.91,0,0.00,0,0.000,0.000,07/07/2025,07/10/2025,
1241634-1,4pos mqs rec cod z,ZFRT,,AND,Z100,88455138,,M133,PH10,,B,C,X,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,1,,1241634-1,PC,"120,000",0,0,1772.9,0,0.00,0,0.000,0.000,07/30/2025,08/01/2025,
2-968217-5,4pos mqs tab cod b,ZFRT,,AND,Z120,86592621,,M133,PH10,,C,C,N,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,1,,2-968217-5,PC,"24,000",0,0,813.81,0,0.00,0,0.000,0.000,07/08/2025,07/09/2025,
1-2282183-1,"cover,mqs",ZHLB,,AND,Z130,87420939,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,,,1-2282183-1,PC,"64,000",0,0,2172.35,0,0.00,0,0.000,0.000,07/19/2025,07/20/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83740116,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,800,0,0,298.39,0,0.00,0,0.000,0.000,05/14/2025,07/28/2025,
1417688-2,immobilizer antenna mm iveco heavy truck,ZFRT,,AEO,Z200,82906336,,E951,PH10,,C,C,X,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,7,,1417688-2,PC,230,0,0,233.73,0,0.00,0,0.000,0.000,05/03/2025,06/05/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,84198252,,M634,PH08,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,0,0,0,315.5,0,0.00,0,432.000,0.000,05/19/2025,07/24/2025,
2141466-1,"4pos,nanomqs,sock hsg,assy,sealed,coda",ZFRT,,ADO,Z100,83006186,,M120,PH10,,A,C,N,0943,,,43155,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-1,PC,"3,000",0,0,741.67,0,0.00,0,0.000,0.000,05/05/2025,07/11/2025,
1-1718628-1,"amp mcp 2.8 hsg. 4pos.,ass'y",ZFRT,,AEO,Z100,82892997,,M105,PH10,,B,C,X,0943,,,43104,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718628-1,PC,"7,700",0,0,1573.23,0,0.00,0,0.000,0.000,05/03/2025,07/16/2025,
