Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
1417688-2,immobilizer antenna mm iveco heavy truck,ZFRT,,AEO,Z200,83422964,,E951,PH10,,C,C,X,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,7,,1417688-2,PC,460,0,0,467.46,0,0.00,0,0.000,0.000,05/10/2025,06/05/2025,
2327326-1,usb cable assy,ZFRT,,AEO,Z200,27107618,,L495,PH10,,C,C,N,0943,,,41394,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P14,,9,,2327326-1,PC,67,0,0,489.32,0,0.00,0,0.000,0.000,07/30/2020,03/12/2021,09/30/2030
2378368-2,cable harness lv,ZFRT,,ADO,Z120,85251188,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,200,0,0,1826.0,"15,000",1.00,0,0.000,0.000,06/04/2025,06/17/2025,
2-2236516-1,"80pos,0.64 gener. y,rec hsg,assy,sld",ZFRT,,ADO,Z120,83439659,,M638,PH10,,A,C,N,0943,,,43069,,ADN,101,IN,G,,,,,AUT SHIRWAL TESOG,,NAC,,2,,2-2236516-1,PC,840,0,0,1115.01,0,0.00,0,0.000,0.000,05/10/2025,07/17/2025,
1-953723-2,4w mqs  hsg brown,ZFRT,,AND,Z120,85534804,,M133,PH10,,C,C,N,0943,,,43169,,AND,101,CZ,D,,,,,AUT KURIM TESOG,,N02,,6,,1-953723-2,PC,"3,500",0,0,142.51,0,0.00,0,0.000,0.000,06/23/2025,06/23/2025,
2236956-3,6pos mqs tab cod c,ZFRT,,AND,Z100,87194603,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,1,,2236956-3,PC,"22,000",0,0,1167.95,0,0.00,0,0.000,0.000,07/12/2025,07/13/2025,
1-2315562-2,"10pos,tab0.64x0.64,hdr assy,180deg,sldr",ZFRT,,ADO,Z200,32P0000005,,M171,PH10,,B,C,N,0943,,,43164,,ADO,101,US,A,,,,,AUT SHIRWAL TESOG,,N60,,1,,1-2315562-2,PC,"35,532",0,0,29437.32,"40,068",89.00,0,0.000,0.000,01/15/2025,01/28/2025,
2-2236516-1,"80pos,0.64 gener. y,rec hsg,assy,sld",ZFRT,,ADO,Z120,83840757,,M638,PH10,,A,C,N,0943,,,43069,,ADN,101,IN,G,,,,,AUT SHIRWAL TESOG,,NAC,,2,,2-2236516-1,PC,"1,800",0,0,2389.3,0,0.00,0,0.000,0.000,05/15/2025,07/20/2025,
1564004-3,"6pos,tab 1.00x0.64,tab hsg,assy",ZFRT,,ADO,Z120,83550412,,M127,,,B,,N,0943,,,43166,,ADN,101,IN,A,W,,,3053696,AUT SHIRWAL TESOG,,N26,,,,,PC,"2,200",0,0,870.74,0,0.00,0,0.000,0.000,05/12/2025,07/16/2025,
2141040-1,"fuse box assy,hard wired,type a",ZFRT,,ADO,Z130,87974827,,L931,PH10,,A,C,X,0943,,,43059,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,127,,3,,2141040-1,PC,294,0,0,1464.32,0,0.00,0,0.000,0.000,07/16/2025,07/31/2025,
Material,material description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,,Safety Sto,SS %,Stock in t,Blocked St,Blocked St,Date of Ma,Last goods,End of lif
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,82356603,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,"3,105",0,0,2572.63,0,0.00,0,0.000,0.000,04/25/2025,07/03/2025,
1355881-1,mqs griffschale 6p,ZFRT,,AND,Z130,84794477,,M237,PH10,,B,C,X,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,1,,1355881-1,PC,"8,000",0,0,166.62,0,0.00,0,0.000,0.000,06/11/2025,07/30/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82698961,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,400,0,0,149.2,0,0.00,0,0.000,0.000,04/30/2025,07/11/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,85199194,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,160,0,0,1460.8,"15,000",1.00,0,0.000,0.000,06/03/2025,06/17/2025,
2236082-1,4pos mqs tab,ZFRT,,AND,Z100,87413605,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,1,,2236082-1,PC,"62,000",0,0,2067.56,0,0.00,0,0.000,0.000,07/16/2025,07/18/2025,
2-2236523-1,"80pos,0.64 male gen. y,tab hsg,assy,sld",ZFRT,,ADO,Z120,82532052,,M638,PH10,,A,C,N,0943,,,43069,,ADN,101,IN,G,,,,,AUT SHIRWAL TESOG,,NAC,,2,,2-2236523-1,PC,"10,656",0,0,12335.09,0,0.00,0,0.000,0.000,04/28/2025,07/17/2025,
1337245-3,hsg assy dia 1.5mm socketlatch,ZHLB,,AEO,Z120,81927699,,J653,PH10,,A,C,X,0943,,,42044,,ADN,284,IN,C,,,,,AUT SHIRWAL TESOG,,J93,,,,1337245-3,PC,"2,000",0,0,449.37,0,0.00,0,0.000,0.000,04/23/2025,07/03/2025,
1452483-1,"2 way hf plug hsg 8mm,coda",ZFRT,,AEO,Z200,38599582,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,1452483-1,PC,400,0,0,29.07,0,0.00,0,0.000,0.000,05/12/2022,05/20/2022,
2236371-1,cover,ZFRT,,AND,Z130,87960713,,M237,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,2,,2236371-1,PC,"45,000",0,0,2384.87,0,0.00,0,0.000,0.000,07/18/2025,07/20/2025,
2141462-1,"4pos,nanomqs,rec hsg,coda",ZHLB,,AL2,Z200,79235325,,M120,PH10,,B,C,N,0943,,,43155,,AL2,101,HU,B,,,,,AUT SHIRWAL TESOG,,N54,,,,2141462-1,PC,"115,000",0,0,3359.9,0,0.00,0,0.000,0.000,03/28/2025,03/31/2025,
1-1718631-1,amp mcp 2.8 retainer 2pos.,ZHLB,,AL2,Z200,50230663,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,7,,1-1718631-1,PC,"6,000",0,0,101.0,0,0.00,0,0.000,0.000,02/14/2024,02/28/2024,
1718326-1,"39-62pos, 5/2.8mm sec.locking",ZHLB,,AND,Z120,84785114,,J541,PH10,,C,C,X,0943,,,42020,,AND,284,CZ,A,,,,,AUT KURIM TESOG,,H94,,,,1718326-1,PC,"4,600",0,0,301.01,0,0.00,0,0.000,0.000,05/30/2025,06/01/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82164069,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"1,600",0,0,596.79,0,0.00,0,0.000,0.000,04/23/2025,06/30/2025,
1337352-1,e3 receptacle conn. assy.,ZFRT,,AEO,Z100,82326999,,J968,PH10,,A,C,X,0943,,,42054,,ADN,284,IN,E,,,,,AUT SHIRWAL TESOG,,H83,,,,1337352-1,PC,"12,000",0,0,4357.44,0,0.00,0,0.000,0.000,04/25/2025,07/10/2025,
2141359-4,"cover,codings cover,codc",ZHLB,,AND,Z200,39694445,,M269,PH10,,C,C,N,0943,,,41393,,AND,101,CZ,E,,,,,AUT KURIM TESOG,,P07,,,,2141359-4,PC,"1,599",0,0,105.06,0,0.00,0,0.000,0.000,07/25/2022,07/02/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83797789,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"1,296",0,0,946.5,0,0.00,0,0.000,0.000,05/15/2025,07/24/2025,
2177305-3,"30pos, mixed,rec hsg,mqs/amp mcp2.8",ZFRT,,AND,Z100,85535466,,Y297,,,A,,N,0943,,,43066,,AND,101,CZ,B,W,,,3052025,AUT KURIM TESOG,,AG8,,,,,PC,500,0,0,57.27,0,0.00,0,0.000,0.000,06/22/2025,07/17/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,87092775,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,200,0,0,1826.0,"15,000",1.00,0,0.000,0.000,07/02/2025,07/17/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83550033,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"4,800",0,0,1790.37,0,0.00,0,0.000,0.000,05/12/2025,07/16/2025,
Material,material description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,,Safety Sto,SS %,Stock in t,Blocked St,Blocked St,Date of Ma,Last goods,End of lif
1534775-1,4pos mixed mqs rec,ZFRT,,AND,Z200,68805101,,M626,PH10,,C,C,X,0943,,,43081,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,NA9,,8,,1534775-1,PC,"1,500",0,0,139.86,0,0.00,0,0.000,0.000,10/17/2024,10/18/2024,09/30/2032
1718633-1,cpa for amp mcp 2.8,ZHLB,,AL2,Z200,49239509,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,B,,,,,AUT SHIRWAL TESOG,,N10,,7,,1718633-1,PC,"11,254",0,0,106.26,0,0.00,0,0.000,0.000,01/05/2024,05/27/2024,
2-1452726-3,2way plug conn. 8mm pitch,ZFRT,,AEO,Z200,79709698,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,7,,2-1452726-3,PC,"9,600",0,0,744.84,0,0.00,0,0.000,0.000,03/26/2025,05/30/2025,
1745078-2,amp mcp 2.8k - rec. assy,ZFRT,,AEO,Z200,83802719,,M105,PH10,,A,C,X,0943,,,43104,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,2,,1745078-2,PC,"2,800",0,0,1172.78,0,0.00,0,0.000,0.000,05/20/2025,08/01/2025,
2-1452726-8,2way plug conn. pitch 8mm fakra 2,ZFRT,,AEO,Z100,85312494,,W767,PH10,,B,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452726-8,PC,"2,400",0,0,180.04,0,0.00,0,0.000,0.000,06/05/2025,07/28/2025,
1-968696-3,4pos mqs tab cod a,ZFRT,,AND,Z100,87374366,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,C,,,,,AUT KURIM TESOG,,N02,,1,,1-968696-3,PC,"67,500",0,0,2654.21,0,0.00,0,0.000,0.000,07/12/2025,07/16/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,16796784,,M099,PH08,,B,C,N,0943,,,43098,,ADN,101,,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,800,0,0,298.39,0,0.00,0,0.000,0.000,06/19/2018,06/22/2018,
2-1452726-6,2way plug conn. 8mm pitch,ZFRT,,AEO,Z200,47142565,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,7,,2-1452726-6,PC,"2,400",0,0,185.58,0,0.00,0,0.000,0.000,09/29/2023,01/02/2024,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83006181,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"2,000",0,0,745.99,0,0.00,0,0.000,0.000,05/05/2025,07/16/2025,
2177305-3,"30pos, mixed,rec hsg,mqs/amp mcp2.8",ZFRT,,AND,Z100,88118963,,Y297,PH10,,A,C,N,0943,,,43066,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,AG8,,1,,2177305-3,PC,"105,000",0,0,12026.42,0,0.00,0,0.000,0.000,07/24/2025,07/31/2025,
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,82280670,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,"1,080",0,0,894.83,0,0.00,0,0.000,0.000,04/24/2025,07/03/2025,
1-2302456-3,"6-port matenet frame, utp, cod c",ZHLB,,AND,Z100,86738214,,EF21,PH10,,B,C,N,0943,,,41393,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,P06,,,,1-2302456-3,PC,"2,000",0,0,153.81,0,0.00,0,0.000,0.000,06/30/2025,07/14/2025,
1452527-2,mqs retainerplate for 16pos,ZFRT,,AL2,Z200,2134M71103,,M237,PH10,,C,C,X,0943,,,43169,,AL2,101,DE,A,,,,,AUT SHIRWAL TESOG,,N02,,,,1452527-2,PC,"5,000",0,0,501.19,0,0.00,0,0.000,0.000,11/03/2017,05/02/2023,
1-2332125-1,"cover,charging inlet ccs, 95sqmm, left",ZFRT,,AND,Z100,84936203,,J880,PH10,,B,C,N,0943,,,14003,,AND,278,CZ,A,,,,,AUT KURIM TESOG,,P27,,,,1-2332125-1,PC,630,0,0,763.84,0,0.00,0,0.000,0.000,06/15/2025,06/17/2025,
2066182-1,6 cyl injector cable assy with jacobs,ZFRT,,AEO,Z120,86844437,,J620,NR10,,C,L,X,0493,,,42028,,ADN,284,IN,K,,,,,AUT SHIRWAL TESOG,,J21,,7,,2066182-1,PC,40,0,0,598.66,0,0.00,0,0.000,0.000,06/30/2025,07/18/2025,
1452725-4,2way jack conn. 8mm pitch,ZFRT,,AEO,Z200,65952854,,W767,PH08,,C,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,1452725-4,PC,0,0,0,473.59,0,0.00,0,"6,000.000",0.000,09/04/2024,09/17/2024,
1719068-1,"cover,6pos",ZFRT,,AND,Z130,88131052,,M237,PH10,,B,C,X,0943,,,43169,,AND,101,CZ,A,,,,,AUT KURIM TESOG,,N02,,2,,1719068-1,PC,"49,000",0,0,1490.49,0,0.00,0,0.000,0.000,07/20/2025,07/23/2025,
2177306-3,21pos mixed mqs rec,ZFRT,,AND,Z100,87374370,,Y297,PH10,,B,C,N,0943,,,43066,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,AG8,,1,,2177306-3,PC,"39,600",0,0,3021.82,0,0.00,0,0.000,0.000,07/10/2025,07/31/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,82839183,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"1,296",0,0,946.5,0,0.00,0,0.000,0.000,05/02/2025,07/11/2025,
2327326-2,usb cable assy,ZFRT,,AEO,Z200,27958035,,L495,PH10,,C,C,N,0943,,,41394,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,P14,,9,,2327326-2,PC,10,0,0,78.98,0,0.00,0,0.000,0.000,09/25/2020,03/19/2021,09/30/2030
1952075-5,"coil,160b connector housing-type3",ZFRT,,AEO,Z130,82711616,,E951,PH10,,A,C,N,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,3,,1952075-5,PC,270,0,0,223.71,0,0.00,0,0.000,0.000,04/30/2025,06/11/2025,
2-1452726-8,2way plug conn. pitch 8mm fakra 2,ZFRT,,AEO,Z100,82532037,,W767,PH10,,B,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452726-8,PC,"7,200",0,0,540.12,0,0.00,0,0.000,0.000,04/28/2025,07/15/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83654735,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,432,0,0,315.5,0,0.00,0,0.000,0.000,05/13/2025,07/17/2025,
1718633-1,cpa for amp mcp 2.8,ZHLB,,AL2,Z200,49589020,,M235,PH10,,C,C,X,0943,,,43104,,AL2,101,IN,B,,,,,AUT SHIRWAL TESOG,,N10,,7,,1718633-1,PC,"25,000",0,0,236.03,0,0.00,0,0.000,0.000,01/22/2024,04/10/2024,
1337352-1,e3 receptacle conn. assy.,ZFRT,,AEO,Z100,83894669,,J968,PH10,,A,C,X,0943,,,42054,,ADN,284,IN,E,,,,,AUT SHIRWAL TESOG,,H83,,,,1337352-1,PC,"24,000",0,0,8714.89,0,0.00,0,0.000,0.000,05/16/2025,08/01/2025,
1337352-1,e3 receptacle conn. assy.,ZFRT,,AEO,Z100,84537393,,J968,PH08,,A,C,X,0943,,,42054,,ADN,284,IN,E,,,,,AUT SHIRWAL TESOG,,H83,,,,1337352-1,PC,0,0,0,435.74,0,0.00,0,"1,200.000",0.000,05/23/2025,08/01/2025,
2307893-2,squib harness with horn and mfl,ZFRT,,AEO,Z120,82532050,,L728,PH10,,C,C,N,0943,,,43058,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,895,,3,,2307893-2,PC,240,0,0,623.19,"1,440",17.00,0,0.000,0.000,04/30/2025,07/20/2025,
2-1452726-2,2way plug conn. 8mm pitch,ZFRT,,AEO,Z120,83769797,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P08,,,,2-1452726-2,PC,"19,200",0,0,1585.1,"33,600",57.00,0,0.000,0.000,05/15/2025,07/24/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,84189909,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,800,0,0,298.39,0,0.00,0,0.000,0.000,05/19/2025,07/28/2025,
2141466-3,"4pos,nanomqs,rec hsg,sld,cod c",ZFRT,,AEO,Z120,74185737,,M120,PH10,,C,C,N,0943,,,43155,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-3,PC,"6,000",0,0,1490.97,0,0.00,0,0.000,0.000,,03/05/2025,
2141466-1,"4pos,nanomqs,sock hsg,assy,sealed,coda",ZFRT,,ADO,Z100,81620169,,M120,PH10,,A,C,N,0943,,,43155,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-1,PC,"6,000",0,0,1483.35,0,0.00,0,0.000,0.000,04/18/2025,06/19/2025,
1952025-1,"speed sensor, version 1",ZFRT,,AEO,Z120,79391106,,YC44,PH10,,B,L,N,0943,,,42265,,ADN,305,IN,D,,,,,AUT SHIRWAL TESOG,,AK3,,,,1952025-1,PC,600,0,0,3023.96,0,0.00,0,0.000,0.000,03/21/2025,05/22/2025,
2141462-3,"4pos,nanomqs,rec hsg,cod c",ZHLB,,AL2,Z200,63284328,,M120,PH10,,C,C,N,0943,,,43155,,AL2,101,HU,A,,,,,AUT SHIRWAL TESOG,,N54,,,,2141462-3,PC,"70,000",0,0,2110.04,"90,000",78.00,0,0.000,0.000,08/23/2024,02/28/2025,
1952025-1,"speed sensor, version 1",ZFRT,,AEO,Z120,67242273,,YC44,PH10,,B,L,N,0943,,,42265,,ADN,305,IN,D,,,,,AUT SHIRWAL TESOG,,AK3,,,,1952025-1,PC,600,0,0,3023.96,0,0.00,0,0.000,0.000,09/20/2024,11/29/2024,
Material,material description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,,Safety Sto,SS %,Stock in t,Blocked St,Blocked St,Date of Ma,Last goods,End of lif
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,83240258,,M634,PH10,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,"1,296",0,0,946.5,0,0.00,0,0.000,0.000,05/08/2025,07/11/2025,
144907-1,9p module hsg for jpt,ZHLB,,AL2,Z200,47920584,,M289,PH10,,C,C,N,0943,,,43186,,AL2,101,HU,D,,,,,AUT SHIRWAL TESOG,,N03,,,,144907-1,PC,"16,200",0,0,2526.54,0,0.00,0,0.000,0.000,11/06/2023,05/16/2024,
2141494-6,"1pos,contact kit,rec hsg,assy,codf",ZFRT,,AEO,Z120,82904084,,W767,PH10,,B,C,N,0943,,,41396,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,P08,,9,,2141494-6,PC,"9,600",0,0,714.11,0,0.00,0,0.000,0.000,05/05/2025,07/11/2025,09/30/2036
2236216-4,"1pos,fakra ii,plug,rec hsg,assy,codd",ZFRT,,AEO,Z120,84288204,,W767,PH10,,B,C,N,0943,,,41396,,ADN,101,IN,A1,,,,,AUT SHIRWAL TESOG,,P08,,,,2236216-4,PC,"14,400",0,0,978.21,0,0.00,0,0.000,0.000,05/20/2025,08/01/2025,
1-2236519-1,"spacer, female housing, 80 way",ZHLB,,AL2,Z130,87137922,,M638,PH10,,A,C,N,0943,,,43069,,AL2,101,HU,E,,,,,AUT SHIRWAL TESOG,,NAC,,,,1-2236519-1,PC,"4,284",0,0,688.13,0,0.00,0,0.000,0.000,07/12/2025,07/15/2025,
1-235467-2,"dia11 lockable squib ca,code b, l=1325mm",ZFRT,,AL2,Z200,2146238958,,L805,PH10,,C,C,X,0943,,,43187,,AL2,101,IN,B,,,,,AUT SHIRWAL TESOG,,G03,,7,,1-235467-2,PC,"2,000",0,0,1444.23,0,0.00,0,0.000,0.000,11/15/2021,12/22/2021,
2307893-3,horn harness with mfl,ZFRT,,AEO,Z130,80404445,,L728,PH10,,B,C,N,0943,,,43058,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,895,,3,,2307893-3,PC,"2,400",0,0,4529.08,"9,360",26.00,0,0.000,0.000,04/07/2025,07/01/2025,
1-2315562-1,"10pos,tab0.64x0.64,hdr assy,180deg,sldr",ZFRT,,ADO,Z200,0229147281,,M171,PH10,,C,C,N,0943,,,43164,,ADO,101,US,A,,,,,AUT SHIRWAL TESOG,,N60,,1,,1-2315562-1,PC,756,0,0,614.77,"40,068",2.00,0,0.000,0.000,01/24/2024,02/05/2024,
1-1718624-2,2 pos hsg amp mcp 2.8 assy,ZFRT,,AEO,Z100,80808515,,M105,PH10,,B,C,N,0943,,,43104,,ADN,101,IN,C,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718624-2,PC,"3,000",0,0,490.64,0,0.00,0,0.000,0.000,,06/10/2025,
1452859-1,2 way mcp blanking cover,ZFRT,,AND,Z120,85210878,,M235,PH10,,C,C,X,0943,,,43104,,AND,101,CZ,C,,,,,AUT KURIM TESOG,,N10,,2,,1452859-1,PC,"6,000",0,0,2104.89,0,0.00,0,0.000,0.000,06/07/2025,06/08/2025,
1452861-1,8 way mqs blanking cover,ZFRT,,AND,Z120,83588919,,M237,PH10,,C,C,X,0943,,,43169,,AND,101,CZ,C,,,,,AUT KURIM TESOG,,N02,,2,,1452861-1,PC,"6,000",0,0,2015.91,0,0.00,0,0.000,0.000,05/16/2025,05/19/2025,
2307893-3,horn harness with mfl,ZFRT,,AEO,Z130,76930254,,L728,PH10,,B,C,N,0943,,,43058,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,895,,3,,2307893-3,PC,"1,200",0,0,2264.54,"9,360",13.00,0,0.000,0.000,02/12/2025,05/15/2025,
